text,sentiment,category,keyword
"아니 연금 수익율 전세계 탑티어 급인데 일 잘하고 있는데 주변인들이 
감나와라 배나와라 참견질인지 모르겠네. 팔던 말던 신경꺼들 
98년부터 수익율 전세계 연금운용하는 기관중 탑임
별 그지 같은것들이 감나와라 배나와라",긍정,운용성과,수익률
배달이슈 직원 어떻게 됬을까?,중립,기타,일반 잡담
그래서 고점에 사람 가둬놓고 죽이게 되는겁니다 아 그래서 연기금 기금이 2100년으로 늘어나나? 기금을 리밸런싱 했어야지 지수를 리밸런싱 해버린거 잖아요 이상황이…으이구 당장 내일부터 처박으면 기금으로 올릴겁니까? 증발하는 주식대금은요? 뭐 이런 무능한 사람이 다있나… 사직하세요! 미친 … 기업이 매출올리고 잘 나가려는데 아사바리를 이따구로 걸어 …,부정,운용성과,리밸런싱 지연
수십년간의 원칙을 지들 회의 때마다 맘대로 쳐바꾸고는 아몰랑,부정,국민연금 조직,조직 신뢰
야이 사람들아 직장인기준 올라도 얼마나 올랐냐? 대한민국 평균으로 치면 월 350만원 월급에 16만원 남짓 국민연금 내는데 오르면 뭘 얼마나 올랐다고 몽니부리나? 몇천원 남짓올랏다 몇천원,부정,연금제도,보험료 인상
국민한테 피해갔는데  뭔 개소리야!!,부정,기타,일반 잡담
"이재명정부가 개입해서 외인들 돈들고 나가게 만들었잖아
더 큰 문제는 선례를 만든점
지말로 비밀이라면서 6월까진 개입 안해요 떠들고는
그럼 외인들이 바보냐 6월말에 팔고 가지",부정,정부개입·거버넌스,정부 개입
운영 잘해서 연금걱정 없게 해주고 미래세대에 부담 덜 준다는거에 너무 감사합니다.,긍정,기타,영상 소감
이사장 말마다 국민 국민하면서 정치인같이 정치적 판단을 하는것 같음. 국민연금 이사장이면 국민연금 수령자가 우선이지 왜 국민의 일부만 들고있는 주식시장이 우선일까요. 그것도 정치적 판단인가요,부정,국민연금 조직,조직 신뢰
흠. 가치 없는 대화들이군,중립,기타,일반 잡담
웃겨,중립,기타,일반 잡담
언제는 사기다 고갈된다 난리더니 이젠 감놔라 배놔라 ㅋㅋㅋㅋㅋㅋㅋㅋ 뭘안다고 시끄러워,부정,연금제도,고갈
"이 양반 웃기네. . 
자기가 자기를 부정하는 지경  
원칙?? 
14%의 원칙은 왜 어겼는데. 
스스로가 정권의 압력이나 정치권의 압박을 받았다고 인정하는것같은데. .",부정,정부개입·거버넌스,정권 압력
원칙무새들이 많은데 그건 그냥 기관에서 정한 숫자인거지 법령에 적혀있는것도 아닐텐데? 뭐지 이 무지렁뱅이들은,부정,기타,일반 잡담
리벨런싱 한다고 코스피 폭락시켰으면 욕 오지게 처먹었을텐데 소인배들 의견은 듣지마소,부정,운용성과,리밸런싱 지연
"저 연기금이 사는게 좋은것이 아니야
외국인이 던진걸 국내에서 쳐받으면 폭탄 돌리냐",부정,투자전략,폭탄 돌리기
"아니...
국민연금 똑바로 말해라
니들이 주가 거품 일으키는데
상당수 요인이 있고
또 그로 인해 외국인 먹거리되서
환율 변동폭이 있다
단지 지금은 단기적으로 하이닉스가 환전해서 떨어진거지 
임시로",부정,투자전략,주가 거품
저 인간 역사학자로 낙하산 인사로 딸랑이로 유명하다,부정,국민연금 조직,낙하산 인사
"국민연금 리밸런싱이란 말 자체도 숨겨야하는데 국민들이 다 알게됐다고 아쉬워하는 말투,  국민들이 바보여야하는데 자꾸 알고있네?... 라는 뉘앙스로 들리네요. 연금의 비중을 늘린 꼼수로 얼마나 많은 영향을 주었는데.. 말로는 원칙을 지키는 운용을 한다고 하고.. 말의 앞뒤가. 결국 모든 이슈는 변명으로 일관하고 그냥 믿어달라는 홍보인터뷰네요.
연금재정 고갈시점 연장으로 물흐리는데 고갈되어도 세금으로 무조건 주어야 합니다.  이미 공무원연금은 세금으로 일부 보전하기 시작했고, 군인연금은 50년전에 고갈되어 쭉 세금으로 전액 지급되고 있습니다.",부정,연금제도,연금재정 고갈
"국민연금 이사장이 유튜브에 나오다니, 역시 친정부 체널이 맞네요!",부정,국민연금 조직,친정부
이사장이 유투브까지 출연하냐...이게 머하는 건지 참...,부정,국민연금 조직,이사장 출연
라고 했던 놈들이 7월1일에 ㅡㅡ; 그렇게 매몰차게 팔아서 변동성을 그따구로 일으키냐. 거기다가 리밸런싱 아주 동네방네 소문 다내서 외국 펀드들 다 런치게 방조했지.,부정,운용성과,리밸런싱 지연
"이번 장르만 여의도 정영진과 채윤경기자의 질문은 좀 실망스럽다. 적어도 박종훈의 지식한방 요즘 나오는 유투브 몇개라도 보고 오늘의 인터뷰 준비를 햇었으면 어떘을까 싶다.. 물론 두분이 어련히 알아서 준비하셨을까 생각도 들지만,… 박종훈의 지식한방에서 국민연금 리벨런싱에 대한 여러 분석을 이미 들은 청취자로서는 진짜.. 실망스러웠다. 이 뜻은, 진짜 맵게 질문하지 못했다는 뜻이다. 애초에 장르만이 국민연금의 올해 이상한 행동에 핑계댈 자리를 마련하주려고 했던거는 아니지않나? 아닌가? 그랬던건가?ㅋ",부정,국민연금 조직,질문 준비 부족
"국민연금도 개인투자자와 마찬가지로 수익을 창출하기 위한 기관투자자의 하나인데, 그들이 하는 투자방식에 대하여 투정 부릴일은 아닌듯",중립,기타,기관투자자
"어떻게 대부분의 국민이 국민연금을 믿지 못하게 되었을까? 참 씁씁하다.
각자 도생하자~ 
연금? 환율 최악으로 갈텐데 나중에 연금 받으면 뭐하나~ 과자도 못사먹을텐데~!!",부정,연금제도,신뢰 부족
두루뭉실한 변명만 듣고갑니다,부정,기타,변명
8:10 그럼 왜  삼성하고 SK 만 삼 ???? 코스피 지수에 따라 사는게 아니라면 니들이 하는게 주ㄱ ㅏ조작이잖아 ~분명히 여기에 한화도 있을테고 한전도 사놓았을때  그게 재미가 없으니 ~~ 반도체 끌어 올리는 수작을 하는 거잖아 ~,부정,정부개입·거버넌스,주식 조작
국민연금 보다 못한 계좌들고 다들 말많네 ㅋㅋㅋㅋ,부정,기타,비교
국민연금 관계자들 월가에서에 왕손님대접,부정,국민연금 조직,왕손님대접
34:55 이 말만 들어도 정부 눈치안본다는 말 구라인게 보이네~~~이재X 살리기한다고 애쓴다 에휴 사기꾼들,부정,정부개입·거버넌스,정부 눈치
역사를 잊은 민족에게 미래는없다 는 말을 조롱거리처럼 비웃는 정헝진이 사명감이라는 단어를 이해하겠냐,부정,기타,조롱
국민연금 돈벌려면 리벨런싱 국민들을 위해서 천천히 파는게 아니라 확팔면 손해보니 천천히 팔아야지,중립,투자전략,리밸런싱
댓글만봐도 참일하기 힘들겠다 싶네요😂🎉😂 좀 알아서 하게 좀 둬라 에휴❤,중립,기타,일반 잡담
ㅋㅋㅋㅋㅋ 포지션 오픈!!,중립,기타,일반 잡담
근거를 안대고 걱정만 말라고 하네 ㅋㅋㅋㅋ,부정,기타,비판
연금 매수 매도 때문에 출렁이네요.ㅜㅜ,부정,운용성과,변동성
잘 보고 갑니다.,긍정,기타,영상 소감
원칙대로 했으려면 진즉에 비중조절을 해나갔어야지.,부정,운용성과,비중 조절
국민연금공단 믿는사람없지?  고갈되면 ㅈ되니까 개미들 꼬셔서 돈 빨아먹는 속내 다보여,부정,연금제도,기금 고갈
이번 코너 특히 좄있슴다 어떤 구조인지 궁금했는데,중립,기타,정보 공유
"우리 국민들 교육 및 인지 능력 높고 똑똑햐.
국민을 속이면 안된다",부정,국민연금 조직,조직 신뢰
그럼 왜 반도체관련주 삼성하고  SK만 삼 ?? 국민연금 발란스를 위해서 가능성이 있는 기업 주식도 사야지 이러니 계엄을 하지 세금으로  주가 조작 하는 거잖아 ~ 외인들만 돈벌고 ~,부정,투자전략,주가 조작
지금 개미들이 안보임 ?? 개미는 국민 아님 ?ㅋㅋㅋ,중립,기타,일반 잡담
주가가 폭등했다고 원칙을 깨야할 일인가?,부정,운용성과,원칙 위반
얼마나 국민들을 개 호구로 보길레.. 선관위나 국민 연금이나.. 운용 회의록 같은거 다 비공개 하면서 믿어달래.. 도둑놈들이 꼭 하는 말이지,부정,국민연금 조직,회의록 공개
"정신 나간 인간들 정치쇼 잘하고,  바클레이즈 보고서에 발각됨  ㅋㅋㅋ",부정,기타,일반 잡담
국민연금이 웬만한 증권사 다 합친 것 같은 자금력인데 의도를 가지고 움직이면 그게 주가조작 아니냐? 주가조작은 깜빵 가야지,부정,정부개입·거버넌스,주가조작
환율 올라가니깐 정부에서 연금이랑 개미들이 해외주식 사서 그렇다고 해서 해외주식말고 국내주식 사게 해서리 못판거 잖어.. 게다가 국내주식 올리고 싶어하는 정권 눈치도 보는거고..,부정,정부개입·거버넌스,정권 눈치
"댓글 어디서 죄다 몰려와서
또 대통령 탓하고 지랄들이네
상승할 때는 입닥치고 있다가
이때다 싶나보네
비중늘리려면 진작에 정부정책 믿고 작년에 이미 넣어야지 뒤늦게 비중 늘리고선 하락이라고 비판이야? 정부가 언제 압박을 햇냐. 전문가들이 비중을 늘려야 한다고 주장했던건데",부정,정부개입·거버넌스,정부 압박
아니 ㅋㅋ 돈벌었다는데도 난리네 ㅋㅋㅋㅋㅋㅋㅋ 2찍이을은 ㅋㅋ,중립,기타,일반 잡담
"국내비중을 더 늘려주세요
국장이 잘되거니
연금도 더 수익률높아질 것",긍정,투자전략,국내주식 비중
아 시작하자마자 거짓말.,부정,기타,일반 잡담
근데 왜 국민연금은 투기를 하는것인가?,부정,운용성과,투기
"sk하이닉스 미국장에 adr로 유통시키시오
국내장에서 하이닉스 계속 매수하고",중립,투자전략,해외투자
하나마나한 소리들 하시는군...,부정,기타,일반 잡담
"멀쩡한 저평가 종목 팔아서 떡락 시키고 팔아야 하는 삼성 sk를
계속 처 사고 앉았고
외국인은 위에서 다 팔고 나가는데
수익을 챙겼어야 할 국민 연금은
주가 내려서 팔지도 못 하고
또 사고 앉았고 국민들 돈 가지고 뭔 짓거리를 하는거야",부정,운용성과,손실
회의록이나 공개하면서 신뢰를 얘기해야지 그리고 너무 투명하게도 리벨런싱을 6월까지 유예하고 회의록도 재맹이 임기 끝날 때 까지 비공개로 전환시켜놨으면서 정치적이 아니다? ㅋㅋㅋㅋ,부정,국민연금 조직,회의록 공개
눈치보고 손해보면 연금 누가 줄건데? 안그래도 고갈된다고 말나오는데,부정,연금제도,기금 고갈
"우끼고 있네
그동안 정부 눈치보고 비중조절 못해놓고 ㅋ",부정,정부개입·거버넌스,정권 눈치
"타채널에서도 그렇고 국민연금분들 나오시면 논란이 생기기가 쉬운듯. 
전문적인 커뮤니케이터나 홍보팀 직원중에 뉴미디어 잘 아시는 분이 나오는게 좋을것같아요.
국민연금 항상 최고의 투자를 지향한다고 생각하고 감사함을 느끼는데 언론 나올때마다 댓글 포화받는거 안타깝습니다.",긍정,국민연금 조직,전문성
사랑하는 우리 채부장님 ㅜㅜ 거의 1년전인가 김현우 소장이 퇴직연금 얘기할때 잘 듣지 않으시던데…정프로야 그렇다치고…왜 그랬어요.. ㅜㅜ 아무도 그날 아무도 듣지 않길래 김소장 힘들겠다 답답허겠다..했던 글 써던게 기억나네요..,중립,퇴직연금,퇴직연금 얘기
"그렇게 선진국과 비교해서 안 꿀릴정도 실력이면
내돈도 좀 불리도오",중립,운용성과,실력 평가
국민연금 걱정은 하지마라..주식 존나잘함..ㅋㅋㅋㅋ,긍정,운용성과,주식 실적
"국민연금공단이 굳이 포트폴리오 공개할 필요없어요. 기금만 잘 키워주시고, 국민전체 노후자금을 든든하게 해두시면 됩니다. 국민연금관리공단준들 힘내세요.",긍정,국민연금 조직,조직 응원
"늙은 나는 받겠지만
내지식들은 받을지 모르겠다.",중립,연금제도,연금 수급
7월 부터 줄인다며....? 계속 사던데???? 뭐하냐??? 내 노후 자금 가지구?,부정,운용성과,매매 타이밍
국민연금 고갈은 언제고?,부정,연금제도,기금 고갈
"이재명을 신뢰할 수가 없네요~
서서히 주식은 정리 할렵니다",부정,투자전략,주식 정리
원칙만 지켰으면 결과가 어찌되든 욕은 안먹었음 원칙을 깼기때문에 무수한 비난을 받아도 할말이 없는거임,부정,운용성과,원칙 위반
국민연금공단에게 응원합시다.. 잘하고 계시고 앞으로도 잘하실거예요.. 국민연금공단은 말그대로 국민연금만 신경써주시면 됩니다.,긍정,국민연금 조직,조직 응원
"국내상황때문에
못하고 대기탄거냐?",중립,기타,기다림
언론이나 정부에서 관여를 하지 말아야 하는데  이렇게 불러 물어보는 것도 압력이다. 제발 그냥 알아서 하게  둬라. 그러면 국민연금 스스로 알아서  기금운영 잘한다.,부정,정부개입·거버넌스,정부 관여
벌써 피해를주고잇으면서 말은잘하네,부정,운용성과,피해
"이번 하락장에 국민연금은 하락방어 했음
주가랑 반대로 움직임",긍정,운용성과,하락방어
넘 기본적 애기만함...신뢰감 부족,부정,국민연금 조직,신뢰감 부족
국사학과 운동권출신 국민연금이사장. 민변출신 금감원장. 이말만해도 공격가능....정치성향 떠나 그래도 장급은 전문성 우선으로 뽑자,부정,국민연금 조직,전문성
연금이 끌어올릴때는 웃음꽃이 활짝피더니,중립,기타,과거 성과
지금까지 잘해와서 여론눈치볼일 없었는데 이제 생긴거지. 국사학과 운동권 출신이 왜 국민연금이사장인지 노이해. 운동권이면서 금융전문이면 그나마 이해,부정,국민연금 조직,이사장 출신
"연기금으로  주가 조작이나하니  이런  꼴이 된거다
 왜  한도 넘겨  주식 투자하냐",부정,투자전략,주가 조작
"듣다가 속이 안좋아 토할것 같아 나간다 
여의도도 맛이 갔네 때가 묻었네",부정,기타,불만
지랄하네 다 망쳐놓고 저런 여유?,부정,기타,일반 잡담
퇴직연금은 걸림돌이 많아 쉽지 않을텡데,중립,퇴직연금,걸림돌
"웃을일인가 ~ 3천~7천 사이에서 오를때 리밸러싱을 햇어야지 ~ 
정부눈치보고 안하고 지금 해야하는 멍청한 짓을 ~",부정,정부개입·거버넌스,정부 눈치
리밸런싱 하랫더니 지수 폭락해서 리밸런싱이 자동으로 된거 배임아니냐,부정,운용성과,리밸런싱 지연
주가조작 아님? 나 내일 팔아요....한도는 왜 정해져야하나? 자국 경제도 밝게 안보나? 한국망한 다음 미국 주식 헐어먹게?,부정,기타,일반 잡담
저PBR 상신브레이크 왜 자꾸 파는거니?,중립,기타,일반 잡담
장르만 여의도가 나쁜게 하나마나한 이야기하는 사람 데려다 뭐하냐 반대쪽 전문가 하나 붙여서 같이 이야기해야 구라 못치치,부정,기타,일반 잡담
"삼성 지배구조 바꿀 때, 
방관해서 6천억 손실 본것은 왜 언급이 없는지?",부정,운용성과,손실
구라치네 국민의 피해 어쩌구하는 인간이 7월에 코스피는 사고 코스닥 800포인트에서 던지냐 지선영향 안준다고 하지만 선거 끝나고 포지션 잡는건 뭐냐,부정,정부개입·거버넌스,정권 눈치
"주식시장 시가총액 순위가 오르고 시장이 커진만큼 비중을 늘리는건 당연한 겁니다.
반대로 했다면 시장이 커졌는데 비중은 상대적으로 줄였다고 투자 실패 했다고 난리 였을겁니다.",긍정,투자전략,비중 확대
국민연금 의무가입부터 폐지해라.. 내 돈으로 국가가 맘대로 운용해서 손실나면 책임질것도 아니면서,부정,연금제도,의무가입 폐지
"국민연금 그냥 s&p500 , 나스닥 100  에 다 박아 무조건 이득본다",중립,투자전략,해외투자
이사장님이 왜 오래 계셨는지 알겠네요. 믿음과 신뢰가 갑니다. 감사합니다,긍정,국민연금 조직,신뢰
"응원합니다 킹민연금 화이팅!
성공하면 애국자 실패하면 세력아입니까 ㅋㅋㅋ",긍정,기타,응원
어용,부정,기타,비판
"국민연금 익절내야할 타이밍 놓쳐서 ㄹㅇ 잣댔음. 지금 고점에 개미들 시체 쌓였고 반도체 업황 꺽이는데 누가 올려줌? 
아무리 코스피저평가라해도 성장막히고 개미많으면 못간다
개미들도 오르면바로 탈출하려할텐데.
연기금도 팔아야 돈이지
안팔면 허상이다",부정,운용성과,매매 타이밍
5월달부터미리미리 조금씩 팔았어야지요,부정,운용성과,매매 타이밍
"이것보세요   말장난하지마쇼~~~
국민연금 팔라는 사람과 팔지말라는사람 양쪽얘기로 뭔가 혼란하다는 식인데 
팔라는 사람은 주가와 관계없이 더이상 비율초과하지말고 제때 리벨런싱해서 주식시장에 안정적 역할을 해달하는거고
팔지말라는 쪽은 주로 주식하는 사람들과 정치권에서 주가 떨어지니까 팔지말라는거 아닙니까

눈치만 보다가 균헝을 잡지못해서 그런 비난을
 받는겁니다
팔아라 말아라는 말 자체가 나오지 않게 운용을 했었어야죠!

그리고 주식비율을 임의로 올린것이 아니라
코스피가 올라서 자연스레 연기금 비율이 올라갔다고 하는데
정치권 눈치보지말고 비율이 오버됐을때 미리미리 리벨런싱을 했으면 지금처럼 널뛰는 주가를 만들지 않았을겁니다
어떻게 기금을 20프로 이상 쥐고있습니까???

주가 폭락시 연기금으로 받아줘서 안정시키는 역할은 시장이 안정되게하는 큰 무기인데 이런 간단한 원리도 모른다는건지 눈가리고 아웅으로밖에 안보입니다

그리고 마지막에 연금운용을 잘해서 연기금 수익이 좋다면서 오로지 국민들 이익을 위해서 일하고있으니 믿어달라고 자화자찬 하는데 기가찹니다
주가가 올랐으니 당연히 수익이 늘어난거죠!

무식하거나 무능하거나!!!",부정,정부개입·거버넌스,정권 눈치
좋다 국민연금 리밸런싱 운용력 운운하며 이래라 저래라 지금도 레버리지 거래중단 정부한테 선동질하는 방송은 사과와 방송부터 하자 레버리지 중단폐지하면 그 부작용은 생각해봤니 레버리지 안하는 투자자들도 난리난다 그리고 홍콩미국 레버리지2x4x 외화줄줄새고 환율작살나고 정부가 뻔히 못하는거 알면서 이제 1년된 이재명정부 흔들고 욕하는 경제방송 적당히 흔들어라 오늘 국민연금 방송 잘 봤습니다 장르만 감사합니다,긍정,기타,영상 소감
장르만 여의도가 젤 균형잡힌 채널같아.... 다른방송 보면 자기편 안들면 아주 죽이려드는데...,중립,기타,채널 평가
"솔까 정권눈치본게 누군데ㅋㅋㅋ
진짜 정부 눈치보고 운영안했냐?
국민만보고 운영했냐?ㅋ 웃기시네~",부정,정부개입·거버넌스,정권 눈치
국민연금이 안파니까 9300을 찍지 ㅋㅋㅋㅋㅋㅋㅋ 고점에 포모온 개미들 꽉 물려서 오늘 뉴스에 나오더라 주식때문에 정신과찾는 사람들 많아졌다고 외국인들만 비싼값에 매도폭탄 던지고 돈벌게 해준 꼴,부정,운용성과,매도폭탄
사명감 ㅋㅋㅋㅋㅋㅋ,부정,국민연금 조직,전문성
앞으로 더욱 더 현명하게 관리 해주시길 바랍니다..저는 한국 연금 혜택을 받을 자격이 안되지만 항 상 나라 걱정이되어 한국 회사 주식을 담고 있습니다.,긍정,기타,영상 소감
"저 여기자는 기자라 그런지
사실과 다르게 말하고는 변명만 하네;;;;
말 좀 끊지마세요.",부정,기타,진행자 평가
"코로나땐  삼성전자 매일 팔더만 지금은 정치개입으로 안팔고 버틴거아녀!!
정상적으로 팔았어바라 
내 나이는 연금 못받겠네 에휴",부정,정부개입·거버넌스,정치개입
"죄명이 오더받지말고 자주적으로 하세요!
팔아야 돈아닙니까? 수익률 자랑그만하고 정신차립시다.

20년후에 찾아갈 겁니다.",부정,운용성과,수익률
회의록이나 공개해라!!,부정,국민연금 조직,회의록 공개
"그럼 연금운용율이 저조할땐 연봉 줄이나요?
반도체호황으로 일시적 운용율의 효과는 의미가 없는것 아닐지?
실제 운용율이 좋았다면 한때 연금고갈 걱정은 않했겠죠?
솔직히 타국가들과의 운용율을 비교하는것이 더 중요하지 않을지?",부정,연금제도,기금 고갈
"올해만 외인에게 수 백조 털리고 월급 받아가는군요.
국민연금은 일을 안 하는 겁니까? 못하는 겁니까?",부정,운용성과,운용 독립성
올랐을때 사전 조금씩 리벨랑싱 했어야 하는데...지방선거 때문에 못팔아 이 사단이 났슴..ㅠㅠ,부정,운용성과,리밸런싱 지연
"실적으로 보여주고있는데 왜 국민연금가지고 뭐라하는지….
개별주식은 레버러지 ETF좀 빨리 손좀봐라..",부정,운용성과,수익률
애초에 국민연금이 원칙을 지켰으면 말이 안나왔지,부정,국민연금 조직,조직 신뢰
"그냥 원칙대로  하한가를 가던 리벨 하라고..
소부장쪽에 지분 늘긴 했드만",부정,투자전략,리밸런싱 지연
국민연금 정책 실패..정부의 안이한 대처 ㅠㅠㅠㅠ외국 해지펀드가 갖고 노는 시장.....ㅠㅠㅠ,부정,정부개입·거버넌스,정부 개입
리밸런싱을 왜 하는 건지 잘 모르시는 거 같네요. 리밸런싱은 고도의 기법이 아닙니다. 포트운용의 기본 중에 기본이 리밸런싱인데. 저 같은 몇 개월짜리 초짜도 리밸런싱하고 있는데...,부정,운용성과,리밸런싱 지연
아니 투자  경쟁이잖아 왜 개인 투자자 눈치를 봐? 팔 때 팔아야지,부정,운용성과,매매 타이밍
이미 리밸런싱 시기 늦었어 붕딱아... 지금 상황봐라 이 도박판만든 장본인에 국민연금도 포함이다,부정,운용성과,리밸런싱 지연
"서울 사는 사람들디 전주 안갑니다
아니 강남만 살아도 강북에 안오는데 전주를 어찌 가냐구요???",중립,기타,일반 잡담
우리 국민연금은 너무 잘하고 있어요 ㅎㅇㅌ,긍정,국민연금 조직,조직 신뢰
말 잘 만드네 6.3 지선아지.. 회의록 까봐.. 말 돌리지말고 3번재선 할거하 고생많다 이눔아,부정,국민연금 조직,회의록 공개
아니 올랐을때 미리 했어야지 왜 지금 떨어지고 있는데 하고 있냐??,부정,운용성과,매매 타이밍
고도 좋아하네..,긍정,기타,일반 잡담
정치에 휘둘렸네. 팔아야지. 룰 바꾸고 보유했구만. 규정대로만 했으면 국민을 위한 노후 자금 몇년 더 버텼겠네.,부정,정부개입·거버넌스,정치적 사용
국민들 걱정과 특히 쪽빡차게 해놓구 걱정하지말라고? 왜 연초부터 라밸런싱 안한건지 답 먼저 하시오,부정,운용성과,리밸런싱 지연
김성주는~~~~~국민이 개돼지인줄알어~~~~~올 연초부터~~연금 리벨런싱~~국내주시 보유한도초과되~~해야함에도~~~6월초 선거까지~~~의도적~~국내주식 보유퍼센트~~ 늘려놓곤~~~뭔넘의 정치적 판단이 안들어갔다고 ~거짓말하냐?ㅁ~~국민을 개돼지로 아냐?,부정,정부개입·거버넌스,정치적 사용
눈치보지 마세요,부정,정부개입·거버넌스,정권 눈치
"서울로 가는 순간 망한다.
정프로 제발 서울 서울 떠들지 마라! 서울 경상도에 국민연금 안보낸게 신의 한수였다.",부정,지역발전,지역경제
"국민연금의 취지는 국민의 노후자금을 지키는 거지, 지금의 코스피를 지키는 게 아니예요. 국민연금 이사장이라는 사람이 이렇게 국민연금에 대해 몰라서야....",부정,국민연금 조직,조직 신뢰
국민연금을 정치적인 소재로 컨텐츠 만드는 유튜버들 많던데 속이 시원합니다 믿고 응원합니다,긍정,기타,영상 소감
정작 궁금한건 묻지도 않고 그냥 지 자화자찬하고 자빠졌네. 그렇게 무지막지하게 쳐오를때 적당히 팔고 또 많이 빠질때 적절히 사서 등락폭 줄이고 리밸런싱도 해야지 멍청하게 외인들 다 팔고 튈때까지 뭐한거냐? 진짜 한심하네.,부정,운용성과,리밸런싱 지연
도데체 뭔말인지  진짜 정치적으로 안하는거 맞나,부정,정부개입·거버넌스,정권 눈치
왜나오신거지....약간 시간낭비였습니다..,부정,기타,진행자 평가
수익률이 통장에 찍혔을때가 아닌 시가평가인데 의미가 있는건가 싶다,중립,운용성과,수익률
아 진짜 지들이 변동성만듬서 말하는거봐라 욕나오네,부정,운용성과,변동성
저번에 7천피 외인팔고 무너질때 많이 팔아서 그런건데  말도안되는 ~~,부정,운용성과,외국인 매매
왜 국민연금은 반도체 줄여도 모자랄 판에 더 사고 있고 정부에서 주가 누르기 방지법을 할려고 하는데 왜 연기금이 pbr 1이하 저평가 주를 팔아대면서 주가 개판 만들며 주가를 누르고 있나 주가 누르기 방지법이 오너들이 상속세 적게 낼려고 누른다고 할려는건데 진짜 범인은 연기금이였네,부정,정부개입·거버넌스,정부 개입
